100,sorted,8.9E-5,1.93459E-4,4.78292E-4
100,shuffled,8.0958E-5,9.5416E-5,1.26333E-4
100,reversed,2.9292E-5,7.1125E-5,1.20958E-4
200,sorted,2.5325E-4,2.22416E-4,3.00041E-4
200,shuffled,1.13916E-4,6.4E-5,9.7917E-5
200,reversed,8.15E-5,5.6292E-5,7.8375E-5
300,sorted,3.73541E-4,2.22625E-4,3.34875E-4
300,shuffled,2.27541E-4,2.1675E-4,3.34875E-4
300,reversed,3.26334E-4,1.35916E-4,1.15417E-4
400,sorted,4.26E-4,3.07958E-4,4.5775E-4
400,shuffled,3.57916E-4,6.10916E-4,7.72125E-4
400,reversed,1.41625E-4,9.8583E-5,1.58667E-4
500,sorted,6.56917E-4,3.68167E-4,4.74833E-4
500,shuffled,4.4075E-4,6.07708E-4,0.001074916
500,reversed,2.74208E-4,6.9417E-5,9.05E-5
600,sorted,6.46459E-4,4.19625E-4,6.64E-4
600,shuffled,4.94417E-4,2.33291E-4,2.03958E-4
600,reversed,2.19333E-4,1.41458E-4,1.9225E-4
350,sorted,5.44375E-4,2.8E-4,3.99417E-4
350,shuffled,2.17708E-4,2.30125E-4,3.97167E-4
350,reversed,1.94583E-4,2.23667E-4,3.49916E-4
